"verbatimFieldName","standardFieldName","namespace","uri","checked","source","comment","opinionBy","opinionDate"
"dwc:order","order","dwc","http://rs.tdwg.org/dwc/terms/order",1,,,"John Wieczorek","2017-08-25"
"dwc:organismid","organismID","dwc","http://rs.tdwg.org/dwc/terms/organismID",1,,,"John Wieczorek","2017-08-25"
"dwc:organismname","organismName","dwc","http://rs.tdwg.org/dwc/terms/organismName",1,,,"John Wieczorek","2017-08-25"
"dwc:organismquantity","organismQuantity","dwc","http://rs.tdwg.org/dwc/terms/organismQuantity",1,,,"John Wieczorek","2017-08-25"
"dwc:organismquantitytype","organismQuantityType","dwc","http://rs.tdwg.org/dwc/terms/organismQuantityType",1,,,"John Wieczorek","2017-08-25"
"dwc:organismremarks","organismRemarks","dwc","http://rs.tdwg.org/dwc/terms/organismRemarks",1,,,"John Wieczorek","2017-08-25"
"dwc:organismscope","organismScope","dwc","http://rs.tdwg.org/dwc/terms/organismScope",1,,,"John Wieczorek","2017-08-25"
"dwc:originalnameusage","originalNameUsage","dwc","http://rs.tdwg.org/dwc/terms/originalNameUsage",1,,,"John Wieczorek","2017-08-25"
"dwc:originalnameusageid","originalNameUsageID","dwc","http://rs.tdwg.org/dwc/terms/originalNameUsageID",1,,,"John Wieczorek","2017-08-25"
"dwc:othercatalognumbers","otherCatalogNumbers","dwc","http://rs.tdwg.org/dwc/terms/otherCatalogNumbers",1,,,"John Wieczorek","2017-08-25"
"dwc:ownerinstitutionCode","ownerInstitutionCode","dwc","http://rs.tdwg.org/dwc/terms/ownerInstitutionCode",1,,,"John Wieczorek","2017-08-25"
"dwc:parenteventid","parentEventID","dwc","http://rs.tdwg.org/dwc/terms/parentEventID",1,,,"John Wieczorek","2017-08-25"
"dwc:parentnameusage","parentNameUsage","dwc","http://rs.tdwg.org/dwc/terms/parentNameUsage",1,,,"John Wieczorek","2017-08-25"
"dwc:parentnameusageid","parentNameUsageID","dwc","http://rs.tdwg.org/dwc/terms/parentNameUsageID",1,,,"John Wieczorek","2017-08-25"
"dwc:phylum","phylum","dwc","http://rs.tdwg.org/dwc/terms/phylum",1,,,"John Wieczorek","2017-08-25"
"dwc:pointradiusspatialfit","pointRadiusSpatialFit","dwc","http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit",1,,,"John Wieczorek","2017-08-25"
"dwc:preparations","preparations","dwc","http://rs.tdwg.org/dwc/terms/preparations",1,,,"John Wieczorek","2017-08-25"
"dwc:previousidentifications","previousIdentifications","dwc","http://rs.tdwg.org/dwc/terms/previousIdentifications",1,,,"John Wieczorek","2017-08-25"
"dwc:recordedby","recordedBy","dwc","http://rs.tdwg.org/dwc/terms/recordedBy",1,,,"John Wieczorek","2017-08-25"
"dwc:recordnumber","recordNumber","dwc","http://rs.tdwg.org/dwc/terms/recordNumber",1,,,"John Wieczorek","2017-08-25"
