"Genus","standardGenus","Family","Order","Class","Phylum","Kingdom","authority","standard","checked","error","resolvelater"
"Haemalopus","Haematopus","Haematopodidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Haemantopus","Haematopus","Haematopodidae","Charadriiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Haemaphysalis",,,,"ARACHNIDA","ARTHROPODA","Animalia",,0,0,,1
"Haematoderus","Haematoderus","Cotingidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Haematopus","Haematopus","Haematopodidae","Charadriiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Haematornis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Haematortyx","Haematortyx","Phasianidae","Galliformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Haematospiza","Haematospiza","Fringillidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Haementeria",,,,"HIRUDINEA","ANNELIDA","Animalia",,0,0,,1
"Haemophila",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Haemophilus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Haemorhous","Carpodacus","Fringillidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Haemotornis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Haemsphila",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Haemulidae",,"Haemulidae","Perciformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a family.",0
"Haemulon","Haemulon","Haemulidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Haemulopsis","Haemulopsis","Haemulidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Haeromys","Haeromys","Muridae","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Haganopsornis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Hagedasbia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Hagedashia","Bostrychia","Threskiornithidae","Pelecaniformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Hagropsar",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Hahnia",,,,"ARACHNIDA","ARTHROPODA","Animalia",,0,0,,1
"HAIDEOTRITON","Haideotriton","Plethodontidae","Caudata","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
