"Genus","standardGenus","Family","Order","Class","Phylum","Kingdom","authority","standard","checked","error","resolvelater"
"Stercoraius","Stercorarius","Stercorariidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Stercorariidae",,"Stercorariidae","Charadriiformes","Aves","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a family.",0
"Stercorariius","Stercorarius","Stercorariidae","Charadriiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Stercorarius","Stercorarius","Stercorariidae","Charadriiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Stercoriidae",,"Stercorariidae","Charadriiformes","Aves","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a misspelled family.",0
"Stercosarius","Stercorarius","Stercorariidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Stercovarius","Stercorarius","Stercorariidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Stereacanthia",,,"AXIFERA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"STEReOCHILUS","Stereochilus","Plethodontidae","Caudata","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Stereocyclops","Stereocyclops","Microhylidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Stereogenys",,"Pelomedusidae","Testudines","Reptilia",,"Animalia",,0,0,,1
"Stereolepis","Stereolepis","Polyprionidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Stereonephthya",,,"ALCYONACEA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Stereorarius","Stercorarius","Stercorariidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Stereosternum",,,,"BASAL AMNIOTE",,"Animalia",,0,0,,1
"Sterha","Sterna","Laridae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Sterna","Sterna","Laridae","Charadriiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Sternarchella","Sternarchella","Apteronotidae","Gymnotiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Sternarchogiton","Sternarchogiton","Apteronotidae","Gymnotiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Sternarchorhamphus","Sternarchorhamphus","Apteronotidae","Gymnotiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Sternarchorhynchus","Sternarchorhynchus","Apteronotidae","Gymnotiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Sternarchus","Apteronotus","Apteronotidae","Gymnotiformes","Actinopterygii","Chordata","Animalia","Interim Register of Marine and Nonmarine Genera",0,1,"Genus is a synonym.",0
"Sternaspis",,"STERNASPIDAE",,"POLYCHAETA","ANNELIDA","Animalia",,0,0,,1
"Sternbergia",,"Didelphidae","Marsupialia","Mammalia",,"Animalia",,0,0,,1
"Sterne","Sterna","Laridae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Sternella","Sturnella","Icteridae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Sterni","Sterna","Laridae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Sternoclyta","Sternoclyta","Trochilidae","Apodiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Sternoptychidae",,"Sternoptychidae","Stomiiformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a family.",0
"Sternoptyx","Sternoptyx","Sternoptychidae","Stomiiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Sternopygus","Sternopygus","Sternopygidae","Gymnotiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Sternothaerus","Sternotherus","Kinosternidae","Testudines","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: Apr 2013",0,1,"Genus misspelled.",0
"STERNOTHERUS","Sternotherus","Kinosternidae","Testudines","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Sternula","Sternula","Laridae","Charadriiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Sternus","Sturnus","Sturnidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Sterochilus","Stereochilus","Plethodontidae","Caudata","Amphibia","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Stethojulis","Stethojulis","Labridae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Steurnella","Sturnella","Icteridae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Sthenelais",,,,"POLYCHAETA","ANNELIDA","Animalia",,0,0,,1
"Sthenelides",,"Anatidae","Anseriformes","Aves",,"Animalia",,0,0,,1
"Sthenictis",,"Mustelidae","Carnivora","Mammalia",,"Animalia",,0,0,,1
"Sthenurus",,"Macropodidae","Marsupialia","Mammalia",,"Animalia",,0,0,,1
"Stiachaeus",,"BLENNIIDAE","ACANTHOPTERYGII",,,"Animalia",,0,0,,1
"Stibarus",,"Leptochoeridae","Artiodactyla","Mammalia",,"Animalia",,0,0,,1
"Stichaeidae",,"Stichaeidae","Perciformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a family.",0
"Stichaeus","Stichaeus","Stichaeidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Stichaster",,,,"ASTEROIDEA","ECHINODERMATA","Animalia",,0,0,,1
"Stichopodidae",,"Stichopodidae","Aspidochirotida","Holothuroidea","Echinodermata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a family.",1
"Stichopus",,,,"HOLOTHUROIDEA","ECHINODERMATA","Animalia",,0,0,,1
"Stictomyrmornis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Stictonetta","Stictonetta","Anatidae","Anseriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Stictorhinus","Stictorhinus","Ophichthidae","Anguilliformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Stictornis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Stictospiza",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Stigimatopelia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Stigmatogobius","Stigmatogobius","Gobiidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Stigmatopelia","Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Stigmatops",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Stigmattopelia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Stigmatura","Stigmatura","Tyrannidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Stigmotopelia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Stigniatura",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Stilbopsar",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Stilosoma","Stilosoma","Colubridae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Stilotherium",,"Caenolestidae","Paucituberculata","Mammalia",,"Animalia",,0,0,,1
"Stilpnochlora","Stilpnochlora","Tettigoniidae","Orthoptera","Insecta","Arthropoda","Animalia","The Catalogue of Life, 3rd January 2011",1,1,,1
"Stilpnodon",,"Palaeoryctidae","Lipotyphla","Mammalia",,"Animalia",,0,0,,1
"Stiltia","Stiltia","Glareolidae","Charadriiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Stintonia","Stintonia","Holocentridae","Beryciformes","Actinopterygii","Chordata","Animalia","Paleobiology Database",1,1,,0
"Stiphodon","Stiphodon","Gobiidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Stiphrornis","Stiphrornis","Muscicapidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Stipiturus","Stipiturus","Maluridae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Stirparia",,"BICELLARIIDAE","CHEILOSTOMATA","ECTOPROCTA","POLYZOA","Animalia",,0,0,,1
"Stirtonia",,"Cebidae","Primates","Mammalia",,"Animalia",,0,0,,1
"Stizaptera",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Stizoptera","Taeniopygia","Estrildidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Stizorhina","Neocossyphus","Turdidae","Passeriformes","Aves","Chordata","Animalia","Wikipedia",0,1,"Genus is a synonym.",0
"Stizostedion","Sander","Percidae","Perciformes","Actinopterygii","Chordata","Animalia","Froese, R. and D. Pauly. Editors. 2012. FishBase.",0,1,"Genus is a synonym.",0
"Stoasodon","Aetobatus","Myliobatidae","Myliobatiformes","Elasmobranchii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a synonym.",0
"Stochomys","Stochomys","Muridae","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Stockia",,"Omomyidae","Primates","Mammalia",,"Animalia",,0,0,,1
"Stockoceros","Stockoceros","Antilocapridae","Artiodactyla","Mammalia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Stockoceros/Oreamnos",,"Antilocapridae","Artiodactyla","Mammalia","Chordata","Animalia","Mammal Species of the World. 2005.",0,1,"Genus contains two distinct genera.",0
"Stoichactis",,,"ACTINIARIA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Stolephorus","Stolephorus","Engraulidae","Clupeiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Stomalophus",,,,,"Chordata","Animalia",,0,1,"Genus not found.",0
"Stomatella",,"STOMATELLIDAE","DIOTOCARDIA","GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Stomatepia","Stomatepia","Cichlidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Stomatopoda",,,"Stomatopoda","Malacostraca","Arthropoda","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is an order.",1
"Stomatopora",,"TUBULIPORIDAE","CYCLOSTOMATA","ECTOPROCTA","POLYZOA","Animalia",,0,0,,1
"Stomatorhinus","Stomatorhinus","Mormyridae","Osteoglossiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Stomias","Stomias","Stomiidae","Stomiiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Stomiatidae",,"Stomiidae","Stomiiformes","Actinopterygii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: April 2013",0,1,"Genus is a family synonym.",0
"Stomiidae",,"Stomiidae","Stomiiformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a family.",0
"Stomiiformes",,,"Stomiiformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is an order.",0
"Stomioidea",,,"Stomiiformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a superfamily.",0
"Stomioidei",,,"Stomiiformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a suborder.",0
"Stomiopora",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Stomolophus",,,,"SCYPHOZOA","COELENTERATA","Animalia",,0,0,,1
"Stomphia",,,"ACTINIARIA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Stoparola","Eumyias","Muscicapidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Storena",,,,"ARACHNIDA","ARTHROPODA","Animalia",,0,0,,1
"STORERIA","Storeria","Colubridae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Strepailes",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Strepera","Strepera","Cracticidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Strepheoschema",,,,"BASAL ACTINOPTERYGIAN",,"Animalia",,0,0,,1
"Streplopelia","Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Streploprocne","Streptoprocne","Apodidae","Apodiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Strepsiceros",,"BOVIDAE","Artiodactyla","Mammalia","Chordata","Animalia",,0,0,,1
"Strepsilas",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Streptaxis",,"STREPTAXIDAE","PULMONATA","GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Streptocephalus",,"Branchipodidae",,"CRUSTACEA; ENTOMOSTRACA","ARTHROPODA","Animalia",,0,0,,1
"Streptoceryle",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Streptocitta","Streptocitta","Sturnidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Streptopalia","Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Streptopelia","Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Streptopelia risoria X Zenaida macrovra",,"Columbidae","Columbiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a hybrid.",0
"Streptopella","Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Streptopellia","Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Streptophea",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Streptophelia","Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Streptophorus",,"COLUBRIDAE","Squamata","Reptilia","Chordata","Animalia",,0,0,,1
"Streptopilia","Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Streptopolia","Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Streptoproche","Streptoprocne","Apodidae","Apodiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Streptoprocne","Streptoprocne","Apodidae","Apodiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Streptoprogne","Streptoprocne","Apodidae","Apodiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Strepzopelia","Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Stresemannia","Stresemannia","Meliphagidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",1,1,,0
"Strictonetta","Stictonetta","Anatidae","Anseriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"STRIGIDAE",,"Strigidae","Strigiformes","Aves","Chordata","Animalia",,0,1,"Genus is a family.",0
"Strigiformes",,,"Strigiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is an order.",0
"Strigocuscus","Strigocuscus","Phalangeridae","Diprotodontia","Mammalia","Chordata","Animalia","The Catalogue of Life, 3rd January 2011",1,1,,0
"Strigops","Strigops","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Strigorhysis",,"Omomyidae","Primates","Mammalia",,"Animalia",,0,0,,1
"Stringops","Strigops","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Striptopelia","Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Strire",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Strit","Strix","Strigidae","Strigiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Strix","Strix","Strigidae","Strigiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Stromateidae",,"Stromateidae","Perciformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a family.",0
"Stromateoidei",,"Stromateoidei","Perciformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a suborder.",0
"Stromateus","Stromateus","Stromateidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Strombina",,,"MONOTOCARDIA","GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Strombus",,"STROMBIDAE","MONOTOCARDIA","GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Strongylocentrotus","Strongylocentrotus","Strongylocentrotidae","Camarodonta","Echinoidea","Echinodermata","Animalia","The Catalogue of Life, 3rd January 2011",1,1,,1
"Strongylopus","Strongylopus","Pyxicephalidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Strongylosoma",,"POLYDESMIDAE",,"MYRIAPODA","ARTHROPODA","Animalia",,0,0,,1
"STRONGYLURA","Strongylura","Belonidae","Beloniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Strophiurichthys","Anoplocapros","Ostraciidae","Tetraodontiformes","Actinopterygii","Chordata","Animalia","Froese, R. and D. Pauly. Editors. 2012. FishBase.",0,1,"Genus is a synonym.",0
"Strophodus",,"Hybodontidae","Hybodontiformes","Chondrichthyes",,"Animalia",,0,0,,1
"Strophomena",,"STROPHOMENIDAE",,"ARTICULATA","BRACHIOPODA","Animalia",,0,0,,1
"STROPHURUS","Strophurus","Diplodactylidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Strulhio","Struthio","Struthionidae","Struthioniformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Struthia","Struthio","Struthionidae","Struthioniformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Struthidea","Struthidea","Corcoracidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Struthio","Struthio","Struthionidae","Struthioniformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Struthiomimus",,"ORNITHOMIMID","SAURISCHIAN","ARCHOSAUR",,"Animalia",,0,0,,1
"Strux","Strix","Strigidae","Strigiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Studeriotes",,,,"ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"STUMPFFIA","Stumpffia","Microhylidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Stunella","Sturnella","Icteridae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Stunus","Sturnus","Sturnidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Sturisoma","Sturisoma","Loricariidae","Siluriformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Sturma",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Sturna","Sterna","Laridae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Sturnella","Sturnella","Icteridae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Sturnes","Sturnus","Sturnidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Sturnia","Sturnia","Sturnidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",1,1,,0
"Sturnia (Agropsar)","Sturnia","Sturnidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Sturnidae",,"Sturnidae","Passeriformes","Aves","Chordata","Animalia",,0,1,"Genus is a family.",0
"Sturnina",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Sturnipastor",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Sturnira","Sturnira","Phyllostomidae","Chiroptera","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Sturnis","Sturnus","Sturnidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Sturnopaster",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Sturnopastor","Sturnus","Sturnidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Sturnornis","Sturnus","Sturnidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Sturnus","Sturnus","Sturnidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Sturnus","Sturnus","Sturnidae","Passeriformes","Aves","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: April 2013",0,1,"Genus contains a non-printing character.",0
"Styela",,,,"UROCHORDATA","Chordata","Animalia",,0,0,,1
"Stygimoloch",,"Pachycephalosauridae","Ornithischia","Reptilia",,"Animalia",,0,0,,1
"Stygimys",,"Eucosmodontidae","Multituberculata","Mammalia",,"Animalia",,0,0,,1
"Stygiochelys",,"Baenidae","Testudines","Reptilia",,"Animalia",,0,0,,1
"Stygophrynus",,,"PEDIPALPI","ARACHNIDA","ARTHROPODA","Animalia",,0,0,,1
"Stylactis",,,,"HYDROZOA","COELENTERATA","Animalia",,0,0,,1
"Stylarioides",,"CHLORHAEMIDAE",,"POLYCHAETA","ANNELIDA","Animalia",,0,0,,1
"Stylaster",,,,"HYDROZOA","COELENTERATA","Animalia",,0,0,,1
"Stylatula",,,"PENNATULACEA","ACTINOZOA","COELENTERATA","Animalia",,0,0,,1
"Stylemys","Stylemys","Testudinidae","Testudines","Reptilia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Stylephorus","Stylephorus","Stylephoridae","Lampridiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Styliferina (now Diala)",,"LITIOPIDAE",,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Stylinodon",,"Stylinodontidae","Taeniodonta","Mammalia",,"Animalia",,0,0,,1
"Stylocheiron",,,,"CRUSTACEA; MALACOSTRACA","ARTHROPODA","Animalia",,0,0,,1
"Stylocidaris",,,,"ECHINOIDEA","ECHINODERMATA","Animalia",,0,0,,1
"Styloctenium","Styloctenium","Pteropodidae","Chiroptera","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Styloctetor",,,,"ARACHNIDA","ARTHROPODA","Animalia",,0,0,,1
"Stylocynus",,"Borhyaenidae","Marsupialia","Mammalia",,"Animalia",,0,0,,1
"STYLODIPUS","Stylodipus","Dipodidae","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Stylodonta",,"ACAVIDAE",,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Stylognathus",,"Didelphidae","Marsupialia","Mammalia",,"Animalia",,0,0,,1
"Stylohipparion",,"Equidae","Perissodactyla","Mammalia",,"Animalia",,0,0,,1
"Stylommatophora",,,"Stylommatophora","Gastropoda","Mollusca","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is an order.",1
"Stylonurus",,,,"EURYPTERIDA","ARTHROPODA","Animalia",,0,0,,1
"Stylophilus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Stylophora",,,"MADREPORARIA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Styloptygma",,"PYRAMIDELLIDAE","MONOTOCARDIA","GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Stymphalornis","Stymphalornis","Thamnophilidae","Passeriformes","Aves","Chordata","Animalia","IUCN Red List of Threatened Species",1,1,,0
"Styorhina",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Stypopyrrhus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Suaheliornis","Macrosphenus","Sylviidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Suberites",,,,"MONAXONELLIDA","PORIFERA","Animalia",,0,0,,1
"Suberogorgia",,,,"ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Subhyracodon",,"RHINOCEROTIDAE","Perissodactyla","Mammalia","Chordata","Animalia",,0,0,,1
"Sublegatus","Sublegatus","Tyrannidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Succinea",,"SUCCINEIDAE",,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Sudamerica",,,,"Mammalia",,"Animalia",,0,0,,1
"Sudis","Sudis","Paralepididae","Aulopiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Sufflamen","Sufflamen","Balistidae","Tetraodontiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Suiriri","Suiriri","Tyrannidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Suiririr","Suiriri","Tyrannidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Sula","Sula","Sulidae","Suliformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Sulpinctes","Salpinctes","Troglodytidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Sulvilagus","Sylvilagus","Leporidae","Lagomorpha","Mammalia","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Sumaragdolanius",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"SUNBIRD",,,,"Aves","Chordata","Animalia",,0,1,"Genus is a common name.",0
"SUNCUS","Suncus","Soricidae","Soricomorpha","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"SUNDAMYS","Sundamys","Muridae","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"SUNDASCIURUS","Sundasciurus","Sciuridae","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Superbison",,"Bovidae","Artiodactyla","Mammalia","Chordata","Animalia",,0,1,"Genus is a common name.",0
"Surdisorex","Surdisorex","Soricidae","Soricomorpha","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"SURICATA","Suricata","Herpestidae","Carnivora","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Surna","Surnia","Strigidae","Strigiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Surnella","Sturnella","Icteridae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Surnia","Surnia","Strigidae","Strigiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Surniculus","Surniculus","Cuculidae","Cuculiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
