verbatimTypeStatus	standardTypeStatus	standard	checked
HOLOTYPE OF ANTHUS RUBESCENS ALTICOLA, TODD, W. E. C. 1935. GEOGRAPHICAL VARIATION IN THE AMERICAN TITLARK. PROC. BIOL. SOC. WASH., 63-66. PAGE 64, PUBLISHED 3 MAY 1935.	holotype	0	1
HOLOTYPE OF ANTHUS RUBESCENS PACIFICUS, TODD, W. E. C. 1935. GEOGRAPHICAL VARIATION IN THE AMERICAN TITLARK. PROC. BIOL. SOC. WASH., 63-66. PAGE 63, PUBLISHED 3 MAY 1935.	holotype	0	1
Holotype of Aonyx congicus	holotype	0	1
Holotype of Aotus lemurinus griseimembra (Elliot)	holotype	0	1
Holotype of Aotus lemurinus lemurinus (Allen)	holotype	0	1
HOLOTYPE OF APALIS CINEREA GRANDIS, BOULTON, R. 1931. NEW SPECIES AND SUBSPECIES OF AFRICAN BIRDS. ANNALS CARNEGIE MUSEUM, 43-56. PAGE 52, PUBLISHED 16 NOVEMBER 1931.	holotype	0	1
HOLOTYPE OF APALIS RUFOGULARIS KIGEZI, KEITH, S., A. TWOMEY AND H. FRIEDMANN. 1967. A NEW SUBSPECIES OF APALIS RUFOGULARIS (FRASER) FROM UGANDA. BULL. BRIT. ORN. CLUB, 165-166. PAGE 165, PUBLISHED 4 DECEMBER 1967.	holotype	0	1
Holotype of Aphelocoma californica cactophila	holotype	0	1
HOLOTYPE OF APHELOCOMA CALIFORNICA OBSCURA, ANTHONY, A. W. 1889. NEW BIRDS FROM LOWER CALIFORNIA, MEXICO. PROC. CALIF. ACAD. SCI. (2), 73-82. PAGE 75, PUBLISHED 11 OCTOBER 1889.	holotype	0	1
Holotype of Apodemus alpicola (Heinrich)	holotype	0	1
HOLOTYPE OF APOROPHIS MELANOCEPHALUS, GRIFFIN, 1915, MEM. CARNEGIE MUS., 7:171.	holotype	0	1
HOLOTYPE OF APOSTOLEPIS TENUIS	holotype	0	1
HOLOTYPE OF ARATINGA AERUGINOSA OCCIDENTALIS, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF APPARENTLY NEW SOUTH AMERICAN BIRDS ***INCORRECTLY LISTED AS RIO HACHA***. PROC. BIOL. SOC. WASH., 79-82. PAGE 81, PUBLISHED 13 APRIL 1915.	holotype	0	1
HOLOTYPE OF ARATINGA ASTEC MELLONI, TWOMEY, A. C. 1950. A NEW RACE OF PAROQUET OF THE SPECIES ARATINGA ASTEC FROM THE REPUBLIC OF HONDURAS. ANNALS CARNEGIE MUSEUM, 297-298. PAGE 297, PUBLISHED 28 APRIL 1950.	holotype	0	1
Holotype of Arctictis whitei	holotype	0	1
Holotype of Ardops nichollsi koopmani	holotype	0	1
HOLOTYPE OF ARISTELLIGER COCHRANAE	holotype	0	1
HOLOTYPE OF ARREMON AURANTIIROSTRIS STRICTOCOLLARIS, TODD, W. E. C. 1922. NEW FORMS OF FINCHES AND TANAGERS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 89-94. PAGE 90, PUBLISHED 12 JULY 1922.	holotype	0	1
HOLOTYPE OF ARREMONOPS CHLORONOTA TWOMEYI, MONROE JR., B. L. 1963. NOTES ON THE AVIAN GENUS ARREMONOPS WITH DESCRIPTION OF A NEW SUBSPECIES FROM HONDURAS. OCC. PAPERS MUS. ZOOL. LSU, 1-12. PAGE 8, PUBLISHED 20 DECEMBER 1963.	holotype	0	1
HOLOTYPE OF ARREMONOPS CONIROSTRIS UMBRINUS, TODD, W. E. C. 1923. A SYNOPSIS OF THE GENUS ARREMONOPS. PROC. BIOL. SOC. WASH., 35-44. PAGE 38, PUBLISHED 28 MARCH 1923.	holotype	0	1
HOLOTYPE OF ARREMONOPS RUFIVIRGATUS RHYPTOTHORAX, PARKES, K. C. 1974. VARIATION IN THE OLIVE SPARROW IN THE YUCATAN PENINSULA. WILSON BULL., 293-295. PAGE 293, PUBLISHED 3 SEPTEMBER 1974.	holotype	0	1
HOLOTYPE OF ARREMONOPS TOCUYENSIS, TODD, W. E. C. 1912. DESCRIPTIONS OF SEVENTEEN NEW NEOTROPICAL BIRDS. ANNALS CARNEGIE MUSEUM, 198-214. PAGE 198, PUBLISHED 20 MAY 1912.	holotype	0	1
Holotype of Artibeus concolor (Peters, 1865)	holotype	0	1
Holotype of Artibeus fraterculus (Anthony, 1924)	holotype	0	1
Holotype of Artibeus jamaicensis jamaicensis (Leach)	holotype	0	1
Holotype of Artibeus jamaicensis jamaicensis (Leach, 1821)	holotype	0	1
Holotype of Artibeus jamaicensis richardsoni	holotype	0	1
Holotype of Artibeus jamaicensis yucatanicus (Allen)	holotype	0	1
Holotype of Artibeus lituratus (Olfers)	holotype	0	1
Holotype of Artibeus lituratus lituratus ((Olfers))	holotype	0	1
Holotype of Artibeus lituratus lituratus ((Olfers, 1818))	holotype	0	1
Holotype of Artibeus lituratus palmarum (Allen & Chapman)	holotype	0	1
Holotype of Artibeus obscurus ((Wied-Neuwied))	holotype	0	1
Holotype of Artibeus toltecus hesperus (Davis, 1969)	holotype	0	1
Holotype of Arvicanthis nairobae	holotype	0	1
Holotype of Aselliscus tricuspidatus koopmani (Schlitter et al., 1983)	holotype	0	1
HOLOTYPE OF ASPIDURA DERANIYAGALAE, GANS AND FETCHO, 1982, ANN. CARNEGIE MUS., 51:299	holotype	0	1
HOLOTYPE OF ASTHENES D'ORBIGNYI CONSOBRINA, HELLMAYR, C. E. 1925. CATALOGUE OF BIRDS OF THE AMERICAS AND THE ADJACENT ISLANDS IN FIELD MUSEUM OF NATURAL HISTORY. FIELD MUS. ZOOL. SER., IV,390. PAGE 142, PUBLISHED 29 DECEMBER 1925.	holotype	0	1
HOLOTYPE OF ASTHENES WYATTI SANCTAE-MARTAE, TODD, W. E. C. 1950. TWO APPARENTLY NEW OVEN-BIRDS FROM COLOMBIA. PROC. BIOL. SOC. WASH., 85-88. PAGE 85, PUBLISHED 25 MAY 1950.	holotype	0	1
HOLOTYPE OF ASTUR TACHIRO ORIENTICOLA, OBERHOLSER, H. C. 1906. DESCRIPTION OF TWO NEW BIRDS FROM BRITISH EAST AFRICA. ANNALS CARNEGIE MUSEUM, 495-497. PAGE 495, PUBLISHED 16 MAY 1906.	holotype	0	1
HOLOTYPE OF ASTURINA NITIDA PALLIDA, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF SEVEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 169-170. PAGE 170, PUBLISHED 29 NOVEMBER 1915.	holotype	0	1
HOLOTYPE OF ATELEODACNIS LEUCOGENYS CYANOCHROUS, TODD, W. E. C. 1924. DESCRIPTIONS OF EIGHT NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 121-124. PAGE 122, PUBLISHED 8 JULY 1924.	holotype	0	1
Holotype of Atelerix albiventris ((Wagner))	holotype	0	1
Holotype of Ateles chamek ((Humboldt))	holotype	0	1
Holotype of Ateles fuscipes robustus (Allen)	holotype	0	1
HOLOTYPE OF ATELOPUS CARRIKERI	holotype	0	1
HOLOTYPE OF ATELOPUS WALKERI	holotype	0	1
Holotype of Atherurus macrourus ((Linneaus))	holotype	0	1
Holotype of Atilax paludinosus macrodon (Allen)	holotype	0	1
HOLOTYPE OF ATLAPETES BRUNNEI-NUCHA ALLENI, PARKES, K. C. 1954. A REVISION OF THE NEOTROPICAL FINCH ATLAPETES BRUNNEI-NUCHA. CONDOR, 129-138. PAGE 135, PUBLISHED 21 MAY 1954.	holotype	0	1
HOLOTYPE OF ATLAPETES BRUNNEI-NUCHA ELSAE, PARKES, K. C. 1954. A REVISION OF THE NEOTROPICAL FINCH ATLAPETES BRUNNEI-NUCHA. CONDOR, 129-138. PAGE 135, PUBLISHED 21 MAY 1954.	holotype	0	1
HOLOTYPE OF ATLAPETES SEMIRUFUS MAJUSCULUS, TODD, W. E. C. 1919. DESCRIPTIONS OF APPARENTLY NEW COLOMBIAN BIRDS. PROC. BIOL. SOC. WASH., 113-118. PAGE 113, PUBLISHED 27 JUNE 1919.	holotype	0	1
HOLOTYPE OF ATRACTUS GAIGEAE	holotype	0	1
HOLOTYPE OF ATRACTUS SANCTAEMARTAE	holotype	0	1
HOLOTYPE OF ATRACTUS TAENIATUS, GRIFFIN, 1915, MEM. CARNEGIE MUS., 7:173	holotype	0	1
HOLOTYPE OF ATTILA ARIZELUS, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF SEVEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 169-170. PAGE 169, PUBLISHED 29 NOVEMBER 1915.	holotype	0	1
HOLOTYPE OF ATTILA CANICEPS, TODD, W. E. C. 1917. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM COLOMBIA AND BOLIVIA. PROC. BIOL. SOC. WASH., 3-6. PAGE 4, PUBLISHED 22 JANUARY 1917.	holotype	0	1
HOLOTYPE OF ATTILA IDIOTES, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 96, PUBLISHED 6 JUNE 1916.	holotype	0	1
HOLOTYPE OF ATTILA NEOXENUS, TODD, W. E. C. 1917. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM COLOMBIA AND BOLIVIA. PROC. BIOL. SOC. WASH., 3-6. PAGE 4, PUBLISHED 22 JANUARY 1917.	holotype	0	1
Holotype of Auliscomys pictus (The Coryndon Museum)	holotype	0	1
Holotype of Auriparus flaviceps ignatius	holotype	0	1
HOLOTYPE OF AUTOMOLUS INFUSCATUS PURUSIANUS, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE OVEN-BIRDS. ANNALS CARNEGIE MUSEUM, 33-43. PAGE 40, PUBLISHED 15 OCTOBER 1948.	holotype	0	1
Holotype of Aviceda subcristata coultasi	holotype	0	1
HOLOTYPE OF BACHIA PARKERI	holotype	0	1
HOLOTYPE OF BACHIA TALPA	holotype	0	1
Holotype of Baiomys musculus brunneus ((Allen & Chapman))	holotype	0	1
Holotype of Baiomys musculus pallidus (Russell)	holotype	0	1
Holotype of Baiomys taylori paulus ((Allen))	holotype	0	1
HOLOTYPE OF BARISIA IMBRICATA JONESI	holotype	0	1
