"verbatimLifeStage","standardLifeStage","uri","checked","opinionBy","opinionDate"
"subadult or young adult",,,0,"David Bloom","2017-12-29"
"SUBADULT PLUMAGE",,,0,"John Wieczorek","2017-08-25"
"SUBADULT PLUMAGE (AS IN UF46230)",,,0,"John Wieczorek","2017-08-25"
"SUBADULT PLUMAGE; BURSA 13 X 15 ",,,0,"John Wieczorek","2017-08-25"
"SUB-ADULT PLUMAGE; BURSA 6 X 3 M",,,0,"John Wieczorek","2017-08-25"
"SUBADULT PLUMAGE; BURSA NOT FOUN",,,0,"John Wieczorek","2017-08-25"
"SUBADULT PLUMAGE; BURSA NTO FOUN",,,0,"John Wieczorek","2017-08-25"
"SUBADULT PLUMAGE; NO BURSA",,,0,"John Wieczorek","2017-08-25"
"subadult subadult",,,0,"John Wieczorek","2017-08-25"
"subadult",,,0,"John Wieczorek","2017-08-25"
"SUBADULT,",,,0,"John Wieczorek","2017-08-25"
"Subadult, liver tissue taken",,,0,"John Wieczorek","2017-08-25"
"SUBADULT, SKULL OSSIFIED",,,0,"John Wieczorek","2017-08-25"
"SUBADULT, TRANSTION TO DEF. ADUL",,,0,"John Wieczorek","2017-08-25"
"subadult.",,,0,"John Wieczorek","2017-08-25"
"sub-adult/adult?",,,0,"John Wieczorek","2017-08-25"
"subadult; 1st yr. ?",,,0,"John Wieczorek","2017-08-25"
"Subadult; by skull characters",,,0,"John Wieczorek","2017-08-25"
"Subadult; ca 1.5 yr",,,0,"John Wieczorek","2017-08-25"
"subadult; Immature",,,0,"John Wieczorek","2017-08-25"
"SUBADULT; NO BURSA",,,0,"John Wieczorek","2017-08-25"
"SUB-ADULT; NO BURSA",,,0,"John Wieczorek","2017-08-25"
"Sub-adult; skull not completely ",,,0,"John Wieczorek","2017-08-25"
"Sub-adult; skull not completely oss.",,,0,"John Wieczorek","2017-08-25"
"Subadult?",,,0,"John Wieczorek","2017-08-25"
"sub-adult?",,,0,"John Wieczorek","2017-08-25"
"sub-adults","subadult",,1,"John Wieczorek","2017-08-25"
"Subadultt",,,0,"John Wieczorek","2017-08-25"
"subault",,,0,"John Wieczorek","2017-08-25"
"SUB-DEFINITIVE PLUMAGE; BURSA 10",,,0,"John Wieczorek","2017-08-25"
"SUB-DEFINITIVE PLUMAGE; BURSA 2 ",,,0,"John Wieczorek","2017-08-25"
"SUB-DEFINITIVE PLUMAGE; BURSA 6 ",,,0,"John Wieczorek","2017-08-25"
"SUB-DEFINITIVE PLUMAGE; BURSA 8 ",,,0,"John Wieczorek","2017-08-25"
"SUBDEFINITIVE PLUMAGE; NO BURSA ",,,0,"John Wieczorek","2017-08-25"
"SUB-DEFINITIVE PLUMAGE; NO BURSA",,,0,"John Wieczorek","2017-08-25"
"SUBSADULT PLUMAGE (TAIL DARK); B",,,0,"John Wieczorek","2017-08-25"
"Successful",,,0,"John Wieczorek","2017-08-25"
"suco",,,0,"John Wieczorek","2017-08-25"
"Suggestion",,,0,"John Wieczorek","2017-08-25"
"suggestion of embryos",,,0,"John Wieczorek","2017-08-25"
"Suggestion seen in 2 & fresh",,,0,"John Wieczorek","2017-08-25"
"Summer",,,0,"John Wieczorek","2017-08-25"
"Sure",,,0,"John Wieczorek","2017-08-25"
"sure, bird collected",,,0,"John Wieczorek","2018-10-10"
"surely begun",,,0,"John Wieczorek","2017-08-25"
"suspected adult",,,0,"John Wieczorek","2017-08-25"
"suspected juvenile",,,0,"John Wieczorek","2017-08-25"
"suspected yearling",,,0,"John Wieczorek","2017-08-25"
"sv. leg",,,0,"John Wieczorek","2017-08-25"
"Sv. legare",,,0,"John Wieczorek","2017-08-25"
"SVL 181 mm, tail 67 mm",,,0,"John Wieczorek","2017-08-25"
"SVL 449 mm, Tail 770 mm, 1979g",,,0,"John Wieczorek","2017-08-25"
"SY",,,0,"John Wieczorek","2017-08-25"
"SY (14-19mo)",,,0,"John Wieczorek","2017-08-25"
"SY (1yr old)",,,0,"John Wieczorek","2017-08-25"
"SY (BY PLMAGE); BURSA NOT FOUND;",,,0,"John Wieczorek","2017-08-25"
"SY (BY PLUMAGE)",,,0,"John Wieczorek","2017-08-25"
"SY (BY PLUMAGE); NO BURSA",,,0,"John Wieczorek","2017-08-25"
"SY ?",,,0,"John Wieczorek","2017-08-25"
"SY by plumage",,,0,"John Wieczorek","2017-08-25"
"SY imm",,,0,"John Wieczorek","2017-08-25"
"SY or TY imm",,,0,"John Wieczorek","2017-08-25"
"SY/TY",,,0,"John Wieczorek","2017-08-25"
"SY/TY; BURSA 5 X 3 MM",,,0,"John Wieczorek","2017-08-25"
"SY/TY; BURSA 7 X 5 MM",,,0,"John Wieczorek","2017-08-25"
"SY/TY; BURSA 7 X 5 MM; SKULL 100",,,0,"John Wieczorek","2017-08-25"
"SY/TY?",,,0,"John Wieczorek","2017-08-25"
"SY; BURSA 10 X 9 MM",,,0,"John Wieczorek","2017-08-25"
"SY; BURSA 12 X 10 MM",,,0,"John Wieczorek","2017-08-25"
"SY; BURSA 12 X 9 MM",,,0,"John Wieczorek","2017-08-25"
"SY; BURSA 13 X 10 MM, X 3 MM HIG",,,0,"John Wieczorek","2017-08-25"
"SY; BURSA 13 X 5 MM",,,0,"John Wieczorek","2017-08-25"
"SY; BURSA 13 X 8 MM",,,0,"John Wieczorek","2017-08-25"
"SY; BURSA 14 X 11 MM",,,0,"John Wieczorek","2017-08-25"
"SY; BURSA 14 X 8 MM",,,0,"John Wieczorek","2017-08-25"
"SY; BURSA 15 X 12 MM",,,0,"John Wieczorek","2017-08-25"
"SY; BURSA 15 X 8 MM",,,0,"John Wieczorek","2017-08-25"
