"verbatimGeodeticDatum","standardGeodeticDatum","epsg","checked","opinionBy","opinionDate","uri"
"-100.5136300000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5143470000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5143480000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5143520000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5144930000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5172630000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5179900000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5189310000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5201370000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5201820000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5203040000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5207520000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5208970000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5215930000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5222470000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5235090000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5271560000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5271810000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5287640000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5291520000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5296880000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5331420000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5348450000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5350200000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5372930000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5387380000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5390730000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5390840000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5391080000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5395840000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5398660000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5403530000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5423940000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5427720000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5429080000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5431560000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5446830000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5447920000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5455620000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5461790000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5463180000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5463810000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5469840000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5484110000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5563470000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5611380000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5761610000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5817340000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5961650000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5963130000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6080330000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6204170000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6218400000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6227800000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6383290000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6392300000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6400310000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6410460000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6430600000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6458690000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6507850000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6799300000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6800950000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6820940000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6873700000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6881980000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6963350000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.6996310000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.7015960000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.7080390000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.7106100000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.7119960000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.7166700000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.7187300000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.7304030000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.7307110000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.7327290000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.7344410000","not recorded",,1,"John Wieczorek","2020-05-12",
"100.739069","not recorded",,1,"John Wieczorek","2020-04-24",
"-100.7408070000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.7790150000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.7857490000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.7897450000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.8020050000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.8112310000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.8185240000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.8282420000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.8382340000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.8841750000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.9172200000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.9753420000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.9970870000","not recorded",,1,"John Wieczorek","2020-05-12",
"1000","not recorded",,1,"John Wieczorek","2020-04-24",
"1000 M","not recorded",,1,"John Wieczorek","2020-05-12",
"10000","not recorded",,1,"John Wieczorek","2020-04-24",
"1004","not recorded",,1,"John Wieczorek","2020-05-12",
"1006","not recorded",,1,"John Wieczorek","2020-05-12",
"10090","not recorded",,1,"John Wieczorek","2020-05-12",
"10096","not recorded",,1,"John Wieczorek","2020-05-12",
"100m","not recorded",,1,"John Wieczorek","2020-04-24",
"-101.0333900000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.0410180000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.0494920000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.0522570000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.1914420000","not recorded",,1,"John Wieczorek","2020-05-12",
"101.25","not recorded",,1,"John Wieczorek","2020-04-24",
"-101.3638100000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.3849660000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.4156150000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.4395140000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.4501770000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.4586000000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.4783300000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.4808300000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.4848530000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.6479310000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.6946600000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.6962310000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.8000950000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.8222200000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.8291290000","not recorded",,1,"John Wieczorek","2020-05-12",
