"verbatimTypeStatus","standardTypeStatus","uri","checked","opinionBy","opinionDate"
"Holotype of Akodon latebricola ((Anthony))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Akodon longipilis","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Akodon puer lutescens (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Akodon urichi","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Akodon urichi (Allen & Chapman)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Akodon urichi meridensis (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Akodon urichi urichi","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Akodon urichi venezuelensis (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Allactaga balikunica","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Allactaga elater indica (Gray)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Allocricetulus curtatus (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ALLOPHRYNE RUTHVENI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ALOPOGLOSSUS AMAZONIUS","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Alouatta palliata palliata ((Gray))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Alouatta seniculus seniculus (Linneaus)","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ALSOPHIS NICHOLSI","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Alticola semicanus ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMAZILIA AMABILIS COSTARICENSIS, TODD, W. E. C. 1942. LIST OF THE HUMMINGBIRDS IN THE COLLECTION OF THE CARNEGIE MUSEUM. ANNALS CARNEGIE MUSEUM, 271-370. PAGE 330, PUBLISHED 31 DECEMBER 1942.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMAZILIA CHIONOPECTUS ORIENTICOLA, TODD, W. E. C. 1942. LIST OF THE HUMMINGBIRDS IN THE COLLECTION OF THE CARNEGIE MUSEUM. ANNALS CARNEGIE MUSEUM, 271-370. PAGE 319, PUBLISHED 31 DECEMBER 1942.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMAZILIA FIMBRIATA ELEGANTISSIMA, TODD, W. E. C. 1942. LIST OF THE HUMMINGBIRDS IN THE COLLECTION OF THE CARNEGIE MUSEUM. ANNALS CARNEGIE MUSEUM, 271-370. PAGE 323, PUBLISHED 31 DECEMBER 1942.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMAZONA AUROPALLIATA CARIBAEA, LOUSADA, S. 1989. AMAZONA AUROPALLIATA CARIBAEA: A NEW SUBSPECIES OF PARROT FROM THE BAY ISLANDS, NORTHERN HONDURAS **LISTED INCORRECTLY AS 1948**. BULL. BRIT. ORN. CLUB, 232-235. PAGE 233, PUBLISHED 13 DECEMBER ","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMAZONA LEUCOCEPHALA PALMARUM, TODD, W. E. C. 1916. THE BIRDS OF THE ISLE OF PINES. ANNALS CARNEGIE MUSEUM, 146-296. PAGE 228, PUBLISHED 17 FEBRUARY 1916.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMBLYCERCUS HOLOSERICEUS CENTRALIS, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 95, PUBLISHED 6 JUNE 1916.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMBYSTOMA BARBOURI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMBYSTOMA CINGULATUM BISHOPI, GOIN, 1950, ANN. CARNEGIE MUS., 31:300","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMBYSTOMA NOTHAGENES","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMBYSTOMA TIGRINUM DIABOLI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA AMEIVA BILINEATA","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA AUBERI BEHRINGENSIS, LEE AND SCHWARTZ 1985, ANN. CARN. MUS. 54(2):13.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA AUBERI BILATERALIS, MCCOY, 1970, ANN. CARNEGIE MUS., 41:142","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA AUBERI FELIS, MCCOY, 1970, ANN. CARNEGIE MUS., 41:142","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA AUBERI FOCALIS, MCCOY, 1970, ANN. CARNEGIE MUS., 41:137","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA AUBERI KINGI, MCCOY, 1970, ANN. CARNEGIE MUS., 41:130","holotype",,1,"John Wieczorek","2017-08-25"
