"Waterbody"
"Waccasassa River"
"Wadden Zee"
"Wami River"
"Wasbash River"
"Watauga River"
"Wateree River"
"Weddell Sea"
"Wei Wei River"
"West Bay"
"West Fork Monongahela River"
"West Indian Ocean"
"West Pacific Ocean"
"West River"
"Western Atlantic Ocean"
"Western Indian Ocean"
"Western North Atlantic Ocean"
"Westfield River"
"Whidbey Island"
"White"
"White Nile River"
"White Oak River"
"White River"
"Whitemouth River"
"Wichita River"
"Wicomico River"
"Willapa Bay"
"Williams Lake"
"Willow Branch Creek"
"Winona Lake"
"Withlacoochee River"
"Woleu River"
"Wolf"
"Wolf Creek"
"Yadkin River"
"Yadkin River, Pee Dee River"
"Yakima River"
"Yazoo River"
"Yellow"
"Yellow River"
"Yellowstone River"
"York River"
"York River, Mattaponi River"
"York River, Pamunkey River"
"Yukon River"
"Yukon–Kuskokwim Delta"
