"u_datumstr","epsg"
"186_WGS_2039",4326
"186_WGS_2040",4326
"186_WGS_2041",4326
"186_WGS_2042",4326
"186_WGS_2043",4326
"186_WGS_2044",4326
"186_WGS_2045",4326
"186_WGS_2046",4326
"186_WGS_2047",4326
"186_WGS_2048",4326
"186_WGS_2049",4326
"186_WGS_2050",4326
"186_WGS_2051",4326
"186_WGS_2052",4326
"186_WGS_2053",4326
"186_WGS_2054",4326
"186_WGS_2055",4326
"186_WGS_2056",4326
"186_WGS_2057",4326
"186_WGS_2058",4326
"186_WGS_2059",4326
"186_WGS_2060",4326
"186_WGS_2061",4326
"186_WGS_2062",4326
"186_WGS_2063",4326
"186_WGS_2064",4326
"186_WGS_2065",4326
"186_WGS_2066",4326
"186_WGS_2067",4326
"186_WGS_2068",4326
"186_WGS_2069",4326
"186_WGS_2070",4326
"186_WGS_2071",4326
"186_WGS_2072",4326
"186_WGS_2073",4326
"186_WGS_2074",4326
"186_WGS_2075",4326
"186_WGS_2076",4326
"186_WGS_2077",4326
"186_WGS_2078",4326
"18652",
"18655",
"1867",
"1868",
"18702",
"18704",
"18708",
"18716",
"18727",
"18728",
"18740",
"18746",
"18748",
"18759",
"18798",
"19",
"19.01133",
"-19.01541",
"19.016667",
"-19.58777",
"-19.606333",
"-19.9",
"-19.96829",
"19/07/1981",
"19/09/1949",
"191",
"19175",
"19179",
"1927",
"19326",
"1934-09-06",
"1935",
"19383",
"19445",
"19483",
"19528",
"19530",
"19541",
"19567",
"196",
"1962 AMERICAN SAMOA",4169
"1983",
"1984",
"2",
"-2.065133697",
"-2.067313839",
"-2.2502",
"-2.299",
"-2.3531497",
"2.440811",
"-2.635",
"-2.8428",
"-2.886725",
"-2.9372",
"20",
"-20.4753",
"20.5",
"20.50139",
"-20.65",
"20/07/1949",
"200",
"2000",
"20065",
"2010",
"2010 09 30",
"2013-10-30",
"2013-10-31",
"2013-11-04",
"20150",
"2017/02/17",
"20406",
"20422",
"20490",
"206593 E 429666 N",
"20699",
"20786",
"20802",
"20N",
"21",
"21.1",
"21.111823",
"21.35",
"-21.37513889",
"-21.38238889",
"-21.38333333",
"-21.48069",
"-21.77769",
"-21.99979",
"21/10/1969",
"210",
"21119",
"2132",
"21511",
"21847",
"22",
"22.211654",
"-22.23156",
"-22.24923",
"-22.38703",
"-22.46667",
"-22.5222",
"-22.52252",
"22.64267",
"-22.67033",
"-22.67067",
"22.967778",
"-22.9858",
"2200",
"2201",
"22098",
"22180",
"222222222222222222222222222222222222222222222222",
"22532",
"22563",
"22609",
"2267.192",
"22673",
"227",
"22727",
"22817",
"22885",
"2289",
"22973",
"23",
"23.01033",
"-23.04978",
"-23.06666667",
"23.18783",
"-23.43836",
"-23.48722222",
"-23.5333",
"23/06/1982",
"2300",
"23019",
"2309",
"23159",
"23163",
"23164",
"23229",
"23234",
"23275",
"23481",
"23493",
"23515",
"23777",
"23794",
"238",
"23827",
"23873",
"2393",
"239747 E 4416782 N",
"-24.22083",
